,rank,City,Country,Population,Prev,Growth,Area,GDP,Traffic_Index,CO2_Emission_Index,Temp_Jan,Temp_Feb,Temp_Mar,Temp_Apr,Temp_May,Temp_Jun,Temp_Jul,Temp_Aug,Temp_Sep,Temp_Oct,Temp_Nov,Temp_Dec,Temp_Avg
0,1,Tokyo,Japan,37339804,37393128,-0.0014,627.6,1790.0,134.01,1752.17,7.0,7.0,10.0,15.0,20.0,23.0,26.0,28.0,25.0,19.0,14.0,9.0,17.0
1,2,Delhi,India,31181376,30290936,0.0294,1.484,210.0,205.21,6005.35,14.0,18.0,23.0,29.0,33.0,33.0,32.0,31.0,30.0,27.0,21.0,16.0,26.0
2,3,Shanghai,China,27795702,27058480,0.0272,6.340,608.0,154.61,3442.37,5.0,7.0,10.0,16.0,21.0,25.0,29.0,29.0,25.0,20.0,14.0,7.0,17.0
3,4,Sao Paulo,Brazil,22237472,22043028,0.0088,1.521,408.938,175.56,5556.94,24.0,24.0,23.0,22.0,19.0,18.0,18.0,19.0,19.0,21.0,22.0,23.0,21.0
4,5,Mexico City,Mexico,21918936,21782378,0.0063,1.485,293.259,176.1,7044.33,14.0,16.0,17.0,19.0,20.0,19.0,19.0,19.0,18.0,17.0,16.0,14.0,17.0
5,6,Dhaka,Bangladesh,21741090,21005860,0.035,306.4,160.0,258.31,5065.06,19.0,23.0,27.0,29.0,30.0,30.0,30.0,30.0,30.0,28.0,25.0,21.0,27.0
6,7,Cairo,Egypt,21322750,20900604,0.0202,3.085,,235.07,8777.38,14.0,15.0,18.0,22.0,25.0,28.0,29.0,29.0,28.0,25.0,20.0,16.0,22.0
7,8,Beijing,China,20896820,20462610,0.0212,16.411,553.9,154.61,3442.37,-3.0,0.0,7.0,14.0,21.0,25.0,27.0,26.0,21.0,14.0,5.0,-1.0,13.0
8,9,Mumbai,India,20667656,20411274,0.0126,603.4,310.0,205.21,6005.35,24.0,25.0,27.0,29.0,30.0,30.0,28.0,28.0,28.0,29.0,28.0,26.0,28.0
9,10,Osaka,Japan,19110616,19165340,-0.0029,223,,134.01,1752.17,6.0,6.0,10.0,16.0,21.0,25.0,29.0,30.0,26.0,20.0,14.0,8.0,17.0
10,11,Karachi,Pakistan,16459472,16093786,0.0227,3.780,164.0,163.84,5960.32,19.0,22.0,26.0,29.0,31.0,32.0,31.0,30.0,30.0,29.0,25.0,21.0,27.0
11,12,Chongqing,China,16382376,15872179,0.0321,82.300,362.0,154.61,3442.37,8.0,10.0,14.0,19.0,23.0,25.0,29.0,29.0,24.0,19.0,14.0,9.0,19.0
12,13,Istanbul,Turkey,15415197,15190336,0.0148,5.343,237.0,191.94,5939.33,6.0,6.0,8.0,13.0,17.0,22.0,25.0,26.0,21.0,17.0,12.0,8.0,15.0
13,14,Buenos Aires,Argentina,15257673,15153729,0.0069,203,,169.84,4095.17,,,,,,,,,,,,,
14,15,Kolkata,India,14974073,14850066,0.0084,206.1,150.1,205.21,6005.35,19.0,23.0,28.0,30.0,31.0,30.0,30.0,30.0,30.0,28.0,25.0,20.0,27.0
15,16,Kinshasa,DR Congo,14970460,14342439,0.0438,9.965,,,,27.0,27.0,27.0,28.0,27.0,25.0,24.0,25.0,26.0,27.0,27.0,26.0,26.0
16,17,Lagos,Nigeria,14862111,14368332,0.0344,1.171,74.67,307.47,7925.7,28.0,29.0,30.0,29.0,28.0,27.0,26.0,26.0,26.0,27.0,28.0,28.0,28.0
17,18,Manila,Philippines,14158573,13923452,0.0169,42.88,192.6,192.88,6379.59,26.0,26.0,28.0,29.0,29.0,29.0,28.0,28.0,28.0,28.0,28.0,27.0,28.0
18,19,Tianjin,China,13794450,13589078,0.0151,11.760,204.0,154.61,3442.37,-3.0,1.0,7.0,15.0,21.0,25.0,27.0,26.0,22.0,15.0,6.0,-1.0,13.0
19,20,Guangzhou,China,13635397,13301532,0.0251,7.434,385.0,154.61,3442.37,14.0,16.0,19.0,23.0,27.0,29.0,30.0,30.0,28.0,25.0,21.0,16.0,23.0
20,21,Rio de Janeiro,Brazil,13544462,13458075,0.0064,1.255,209.366,175.56,5556.94,27.0,28.0,27.0,26.0,23.0,23.0,22.0,22.0,23.0,24.0,25.0,26.0,25.0
21,22,Lahore,Pakistan,13095166,12642423,0.0358,1.772,58.14,163.84,5960.32,12.0,16.0,21.0,27.0,32.0,33.0,31.0,31.0,29.0,26.0,20.0,14.0,24.0
22,23,Bangalore,India,12764935,12326532,0.0356,741,,205.21,6005.35,,,,,,,,,,,,,
23,24,Moscow,Russia,12593252,12537954,0.0044,2.511,604.0,181.39,4341.94,-8.0,-7.0,-1.0,7.0,14.0,17.0,20.0,18.0,12.0,6.0,1.0,-3.0,6.0
24,25,Shenzhen,China,12591696,12356820,0.019,2.050,401.0,154.61,3442.37,16.0,17.0,20.0,23.0,27.0,29.0,29.0,29.0,28.0,26.0,22.0,18.0,24.0
25,26,Chennai,India,11235018,10971108,0.0241,426,78.6,205.21,6005.35,25.0,27.0,29.0,31.0,33.0,32.0,31.0,30.0,30.0,29.0,27.0,26.0,29.0
26,27,Bogota,Colombia,11167392,10978360,0.0172,1.775,,198.24,4608.85,13.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0
27,28,Paris,France,11078546,11017230,0.0056,105.4,849.0,125.7,3189.0,4.0,5.0,8.0,12.0,14.0,17.0,20.0,19.0,16.0,12.0,8.0,5.0,12.0
28,29,Jakarta,Indonesia,10915364,10770487,0.0135,661.5,200.9,195.5,7119.87,28.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,29.0,28.0,29.0
29,30,Lima,Peru,10882757,10719188,0.0153,2.672,,216.44,5656.48,23.0,24.0,23.0,21.0,20.0,18.0,17.0,17.0,17.0,18.0,19.0,21.0,20.0
30,31,Bangkok,Thailand,10722815,10539415,0.0174,1.569,147.97,178.84,7162.56,28.0,30.0,31.0,32.0,31.0,30.0,30.0,30.0,29.0,29.0,29.0,28.0,30.0
31,32,Hyderabad,India,10268653,10004144,0.0264,650,75.2,205.21,6005.35,17.0,21.0,26.0,31.0,34.0,34.0,32.0,31.0,31.0,30.0,25.0,19.0,28.0
32,33,Seoul,South Korea,9967677,9963452,0.0004,605.2,915.0,146.1,2766.2,-3.0,0.0,5.0,11.0,17.0,22.0,25.0,26.0,21.0,15.0,7.0,0.0,12.0
33,34,Nagoya,Japan,9565642,9552132,0.0014,326.4,368.0,134.01,1752.17,5.0,6.0,9.0,15.0,19.0,23.0,27.0,28.0,25.0,19.0,13.0,7.0,16.0
34,35,London,United Kingdom,9425622,9304016,0.0131,1.572,18.48,132.6,4065.52,6.0,6.0,8.0,11.0,14.0,17.0,19.0,18.0,16.0,13.0,9.0,6.0,12.0
35,36,Chengdu,China,9305116,9135768,0.0185,14.378,273.8,154.61,3442.37,6.0,9.0,13.0,18.0,22.0,25.0,26.0,26.0,23.0,18.0,13.0,8.0,17.0
36,37,Tehran,Iran,9259009,9134708,0.0136,730,,215.39,7161.07,5.0,7.0,11.0,17.0,23.0,28.0,31.0,30.0,26.0,20.0,12.0,7.0,18.0
37,38,Nanjing,China,9143980,8847372,0.0335,6.596,214.7,154.61,3442.37,3.0,5.0,10.0,16.0,21.0,25.0,29.0,28.0,24.0,18.0,11.0,5.0,16.0
38,39,Ho Chi Minh City,Vietnam,8837544,8602317,0.0273,2.061,83.16,109.53,3536.19,27.0,28.0,29.0,30.0,30.0,29.0,28.0,28.0,28.0,28.0,28.0,27.0,28.0
39,40,Luanda,Angola,8631876,8329798,0.0363,113,,,,27.0,27.0,28.0,28.0,27.0,23.0,22.0,22.0,23.0,25.0,27.0,27.0,25.0
40,41,Wuhan,China,8473405,8364977,0.013,8.494,240.0,154.61,3442.37,4.0,7.0,11.0,18.0,23.0,26.0,29.0,29.0,24.0,19.0,12.0,7.0,17.0
41,42,Xi-an Shaanxi,China,8274651,8000965,0.0342,10.097,,154.61,3442.37,0.0,4.0,9.0,15.0,20.0,25.0,27.0,25.0,21.0,15.0,7.0,2.0,14.0
42,43,Ahmedabad,India,8253226,8059441,0.024,464,59.0,205.21,6005.35,,,,,,,,,,,,,
43,44,New York City,United States,8230290,8283550,-0.0064,783.8,,151.34,7301.07,1.0,2.0,6.0,12.0,17.0,22.0,25.0,24.0,20.0,14.0,9.0,4.0,13.0
44,45,Kuala Lumpur,Malaysia,8210745,7996830,0.0267,243,59.831,169.71,7772.73,,,,,,,,,,,,,
45,46,Hangzhou,China,7845501,7642147,0.0266,16.847,204.15,154.61,3442.37,5.0,7.0,11.0,17.0,22.0,25.0,30.0,29.0,24.0,19.0,13.0,7.0,17.0
46,47,Hong Kong,Hong Kong,7598189,7547652,0.0067,1.106,341.319,145.69,1641.8,,,,,,,,,,,,,
47,48,Surat,India,7489742,7184590,0.0425,474.2,59.8,205.21,6005.35,20.0,23.0,28.0,32.0,35.0,33.0,30.0,29.0,30.0,29.0,25.0,22.0,28.0
48,49,Dongguan,China,7451889,7407852,0.0059,2.465,112.3,154.61,3442.37,,,,,,,,,,,,,
49,50,Suzhou,China,7427096,7069992,0.0505,8.488,280.92,154.61,3442.37,5.0,7.0,10.0,16.0,21.0,25.0,29.0,29.0,25.0,20.0,14.0,7.0,17.0
50,51,Foshan,China,7406751,7326852,0.0109,3.848,141.4,154.61,3442.37,14.0,16.0,19.0,23.0,27.0,29.0,30.0,30.0,28.0,25.0,21.0,16.0,23.0
51,52,Riyadh,Saudi Arabia,7387817,7231447,0.0216,1.973,,131.58,6872.21,,,,,,,,,,,,,
52,53,Shenyang,China,7373655,7220104,0.0213,12.942,93.9,154.61,3442.37,-11.0,-6.0,1.0,10.0,17.0,22.0,25.0,24.0,18.0,10.0,0.0,-8.0,9.0
53,54,Baghdad,Iraq,7323079,7144260,0.025,204.2,,,,4.0,6.0,10.0,15.0,21.0,26.0,29.0,29.0,25.0,19.0,11.0,7.0,17.0
54,55,Dar es Salaam,Tanzania,7046892,6701650,0.0515,1.590,10.4,,,28.0,29.0,28.0,27.0,26.0,25.0,24.0,24.0,25.0,26.0,27.0,28.0,26.0
55,56,Santiago,Chile,6811595,6767223,0.0066,641,,131.8,3320.59,24.0,24.0,25.0,26.0,27.0,28.0,28.0,28.0,28.0,27.0,26.0,25.0,26.0
56,57,Pune,India,6807984,6629347,0.0269,516.2,69.0,205.21,6005.35,21.0,23.0,26.0,29.0,30.0,28.0,25.0,25.0,26.0,25.0,23.0,21.0,25.0
57,58,Madrid,Spain,6668865,6617513,0.0078,604.3,290.56,106.94,3282.98,6.0,7.0,10.0,12.0,16.0,21.0,25.0,25.0,20.0,14.0,9.0,6.0,14.0
