,Unnamed: 0,rank,City,Country,Population,Prev,Growth,Area,GDP,Traffic_Index,CO2_Emission_Index,Temp_Jan,Temp_Feb,Temp_Mar,Temp_Apr,Temp_May,Temp_Jun,Temp_Jul,Temp_Aug,Temp_Sep,Temp_Oct,Temp_Nov,Temp_Dec,Temp_Avg,AQI_Avg,O3_Avg,SO2_Avg,PM2.5_Avg,PM10_Avg,CO_Avg,NO2_Avg,NO_Avg,NOX_Avg,C6H6_Avg,NMHC_Avg,GDP_Per_Capita,AQI_Max,AQI_Min,dominant_pollutant
0,0,1,Tokyo,Japan,37339804,37393128,-0.0014,627.6,1790.0,134.01,1752.17,7.0,7.0,10.0,15.0,20.0,23.0,26.0,28.0,25.0,19.0,14.0,9.0,17.0,59.91304347826087,19.795031055900623,0.9875776397515528,17.11801242236025,46.590062111801245,292.45341614906835,46.81366459627329,6.540372670807454,25.124223602484474,0.0,154.1055900621118,43596.8659,126.0,24.0,PM2.5
1,1,2,Delhi,India,31181376,30290936,0.0294,1.484,210.0,205.21,6005.35,14.0,18.0,23.0,29.0,33.0,33.0,32.0,31.0,30.0,27.0,21.0,16.0,26.0,205.87951807228916,8.867469879518072,6.4156626506024095,147.40361445783134,244.09638554216866,1417.6144578313254,53.98192771084337,38.8855421686747,64.3132530120482,7.867469879518072,1.0903614457831325,2337.9495,329.0,63.0,PM2.5
2,2,3,Shanghai,China,27795702,27058480,0.0272,6.340,608.0,154.61,3442.37,5.0,7.0,10.0,16.0,21.0,25.0,29.0,29.0,25.0,20.0,14.0,7.0,17.0,113.93975903614458,24.03012048192771,2.3855421686746987,48.04216867469879,68.20481927710843,681.4698795180723,35.51807228915663,0.7108433734939759,1.2349397590361446,0.0963855421686747,0.0,10710.3777,212.0,56.0,PM2.5
3,3,4,Sao Paulo,Brazil,22237472,22043028,0.0088,1.521,408.938,175.56,5556.94,24.0,24.0,23.0,22.0,19.0,18.0,18.0,19.0,19.0,21.0,22.0,23.0,21.0,72.71686746987952,24.89156626506024,0.5240963855421686,23.650602409638555,38.75301204819277,299.68674698795184,35.34939759036145,0.5,0.8253012048192772,1.783132530120482,0.0,9638.1461,212.0,54.0,PM2.5
4,4,5,Mexico City,Mexico,21918936,21782378,0.0063,1.485,293.259,176.1,7044.33,14.0,16.0,17.0,19.0,20.0,19.0,19.0,19.0,18.0,17.0,16.0,14.0,17.0,121.43636363636364,41.35151515151515,17.96969696969697,36.26060606060606,56.21818181818182,2010.8909090909092,56.842424242424244,0.4303030303030303,0.6363636363636364,0.21212121212121213,0.0,9962.5973,222.0,54.0,PM2.5
5,5,6,Dhaka,Bangladesh,21741090,21005860,0.035,306.4,160.0,258.31,5065.06,19.0,23.0,27.0,29.0,30.0,30.0,30.0,30.0,30.0,28.0,25.0,21.0,27.0,144.2439024390244,16.76829268292683,8.646341463414634,77.57926829268293,88.04878048780488,797.4268292682926,21.26829268292683,1.9085365853658536,8.987804878048781,0.0975609756097561,0.0,2064.1719,362.0,57.0,PM2.5
6,6,7,Cairo,Egypt,21322750,20900604,0.0202,3.085,,235.07,8777.38,14.0,15.0,18.0,22.0,25.0,28.0,29.0,29.0,28.0,25.0,20.0,16.0,22.0,88.78527607361963,15.282208588957054,26.0,30.9079754601227,55.5521472392638,475.02453987730064,24.631901840490798,0.15337423312883436,0.7116564417177914,0.037037037037037035,0.0,3178.2593,202.0,47.0,PM2.5
7,7,8,Beijing,China,20896820,20462610,0.0212,16.411,553.9,154.61,3442.37,-3.0,0.0,7.0,14.0,21.0,25.0,27.0,26.0,21.0,14.0,5.0,-1.0,13.0,124.90853658536585,11.695121951219512,2.1646341463414633,55.859756097560975,96.79268292682927,659.2317073170732,49.40243902439025,0.024390243902439025,0.20121951219512196,0.018292682926829267,0.0,10710.3777,214.0,52.0,PM2.5
8,8,9,Mumbai,India,20667656,20411274,0.0126,603.4,310.0,205.21,6005.35,24.0,25.0,27.0,29.0,30.0,30.0,28.0,28.0,28.0,29.0,28.0,26.0,28.0,168.9939024390244,14.768292682926829,9.115853658536585,99.25,199.9390243902439,529.3353658536586,45.71951219512195,8.115853658536585,29.670731707317074,4.524390243902439,0.0,2337.9495,234.0,56.0,PM2.5
9,9,10,Osaka,Japan,19110616,19165340,-0.0029,223,,134.01,1752.17,6.0,6.0,10.0,16.0,21.0,25.0,29.0,30.0,26.0,20.0,14.0,8.0,17.0,49.88414634146341,16.195121951219512,0.8597560975609756,13.768292682926829,34.78658536585366,430.7012195121951,24.140243902439025,16.48780487804878,42.298780487804876,0.0,0.0,43596.8659,181.0,21.0,PM2.5
10,10,11,Karachi,Pakistan,16459472,16093786,0.0227,3.780,164.0,163.84,5960.32,19.0,22.0,26.0,29.0,31.0,32.0,31.0,30.0,30.0,29.0,25.0,21.0,27.0,138.40243902439025,42.71951219512195,10.792682926829269,53.13414634146341,81.89024390243902,685.439024390244,17.73170731707317,0.018292682926829267,0.10975609756097561,0.0,0.0,1254.4675,181.0,32.0,PM2.5
11,11,12,Chongqing,China,16382376,15872179,0.0321,82.300,362.0,154.61,3442.37,8.0,10.0,14.0,19.0,23.0,25.0,29.0,29.0,24.0,19.0,14.0,9.0,19.0,142.5121951219512,7.554878048780488,5.121951219512195,61.03048780487805,111.5609756097561,1109.591463414634,35.59146341463415,0.0,0.0,0.0,0.0,10710.3777,183.0,73.0,PM2.5
12,12,13,Istanbul,Turkey,15415197,15190336,0.0148,5.343,237.0,191.94,5939.33,6.0,6.0,8.0,13.0,17.0,22.0,25.0,26.0,21.0,17.0,12.0,8.0,15.0,104.32317073170732,4.9939024390243905,5.067073170731708,39.47560975609756,74.57317073170732,1980.0365853658536,51.52439024390244,0.0,0.0,0.0,0.0,9519.3901,181.0,72.0,PM2.5
13,13,14,Buenos Aires,Argentina,15257673,15153729,0.0069,203,,169.84,4095.17,,,,,,,,,,,,,,57.78395061728395,14.037037037037036,5.148148148148148,16.17283950617284,28.123456790123456,162.55555555555554,26.246913580246915,0.0,0.0,0.0,0.0,11300.1571,181.0,30.0,PM2.5
14,14,15,Kolkata,India,14974073,14850066,0.0084,206.1,150.1,205.21,6005.35,19.0,23.0,28.0,30.0,31.0,30.0,30.0,30.0,30.0,28.0,25.0,20.0,27.0,149.25,12.207317073170731,6.7317073170731705,78.64634146341463,127.85365853658537,870.9512195121952,27.20731707317073,10.262195121951219,26.432926829268293,8.945121951219512,0.0,2337.9495,276.0,48.0,PM2.5
