city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Tokyo,45,PM2.5,36,1,11,38,192,36,1,7,0,44
Delhi,383,PM2.5,16,6,322,474,2774,38,49,71,18,0
Shanghai,37,PM2.5,37,2,9,35,385,11,0,0,0,0
Sao Paulo,119,PM2.5,17,1,49,78,594,46,0,0,7,0
Dhaka,186,PM2.5,14,8,107,148,663,4,1,9,0,0
Southampton,28,O3,29,0,4,5,250,7,2,15,0,0
Liaoyang,105,PM2.5,31,6,38,46,616,11,0,0,0,0
Baoji,115,PM2.5,28,4,36,143,1014,31,0,0,0,0
Tepic,42,PM2.5,16,0,9,13,256,6,0,0,0,0
Chiang Rai,123,PM2.5,18,1,54,91,510,29,0,0,0,0
Jieyang,26,PM2.5,26,0,7,30,210,12,2,9,0,0
Chifeng,157,PM2.5,29,7,70,147,878,26,0,0,0,0
Guangyuan,120,PM2.5,2,6,41,94,1743,29,0,0,0,0
Bhubaneswar,163,PM2.5,19,9,87,135,603,60,0,0,0,0
Pingdingshan Henan,163,PM2.5,19,9,87,135,603,60,0,0,0,0
Leicester,41,PM2.5,26,1,10,19,149,25,17,33,0,0
Puning,51,PM2.5,17,1,13,48,143,9,0,0,0,0
Tongchuan,176,PM2.5,16,6,85,147,1389,49,0,0,0,0
Mendoza,57,PM2.5,23,1,16,30,141,19,0,0,0,0
Khamis Mushayt,87,PM2.5,44,1,35,70,97,16,0,0,0,0
Bogor,67,PM10,1,1,18,91,2060,35,0,0,0,0
Chiang Mai,39,PM2.5,26,1,12,28,418,5,0,0,0,0
Tucson,57,PM2.5,13,1,15,43,227,20,0,0,0,0
Imus,97,PM2.5,11,0,32,81,204,21,0,0,0,0
Tiruchirappalli,70,PM2.5,5,5,21,26,222,13,3,7,2,0
Villavicencio,67,PM2.5,19,1,20,20,224,5,0,0,0,0
Sakarya,75,PM2.5,23,38,20,50,748,25,0,0,0,0
Merida,45,PM2.5,27,2,12,18,210,6,0,0,0,0
Benxi,23,O3,23,0,4,5,126,1,0,0,0,0
Shouguang,81,PM2.5,20,3,30,57,437,22,0,0,0,0
Huaibei,110,PM2.5,20,3,41,123,340,33,1,16,0,0
Utrecht,43,PM2.5,26,0,9,17,150,26,3,0,0,0
Rajahmundry,166,PM2.5,45,5,101,165,838,20,2,13,2,0
Larkana,177,PM2.5,51,8,110,164,613,9,0,0,0,0
Jinhua,47,PM2.5,14,1,13,23,286,22,3,20,0,0
Basilan City,24,O3,24,0,6,9,93,1,0,0,0,0
Xiangtan Hunan,55,PM2.5,34,1,16,24,190,3,1,6,0,0
Valledupar,52,PM2.5,20,0,12,18,118,7,0,0,0,0
Chaoyang,129,PM2.5,43,7,48,119,1028,22,0,0,0,0
Chandigarh,165,PM2.5,45,5,98,162,455,37,5,17,6,0
Jinzhou,39,PM2.5,17,0,11,24,180,21,2,17,0,0
Sukkur,174,PM2.5,49,8,104,155,640,14,0,0,0,0
Islamabad,162,PM2.5,21,9,88,126,1983,59,0,0,0,0
Rayong,82,PM2.5,43,1,25,62,602,37,0,0,0,0
Samara,68,PM2.5,17,1,20,66,129,28,0,0,0,0
Kerman,82,PM2.5,6,0,25,34,807,16,16,31,0,0
Amsterdam,53,PM2.5,22,0,9,18,147,29,1,0,0,0
Da Nang,91,PM2.5,51,1,30,70,188,30,0,0,0,0
Haifa,90,PM2.5,49,2,31,66,437,15,6,18,1,0
Mekele,36,PM2.5,36,0,8,23,145,0,0,0,0,0
Guilin,114,PM2.5,56,5,41,80,523,16,0,0,0,0
Yongkang,107,PM2.5,35,2,34,91,275,39,1,11,0,0
