city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Khulna,179,PM2.5,20,5,100,165,737,14,12,33,13,0
Jiangmen,70,PM2.5,7,5,19,41,441,31,0,0,0,0
Jerusalem,62,PM2.5,39,1,20,36,493,16,8,21,1,0
Can Tho,83,PM2.5,21,2,27,44,506,8,0,0,0,0
Cucuta,67,PM2.5,24,1,23,30,522,14,5,19,1,0
Raipur,83,PM2.5,21,2,27,44,506,8,0,0,0,0
Varanasi,232,PM2.5,3,5,204,414,2416,41,40,129,0,0
Xiangyang,124,PM2.5,2,5,46,72,698,31,0,0,0,0
Glasgow,29,PM2.5,35,0,5,11,128,20,13,27,0,0
Nice,62,PM2.5,15,0,19,35,173,16,27,18,0,0
Shiraz,63,PM2.5,13,0,18,44,327,22,4,26,0,0
La Laguna,19,PM2.5,13,0,5,8,133,10,0,0,0,0
Cixi,128,PM2.5,1,6,47,127,1613,32,0,0,0,0
Stockholm,53,PM2.5,21,0,13,31,372,23,0,0,0,0
Anshan,35,O3,42,0,2,7,107,3,1,0,0,0
Auckland,47,PM2.5,31,1,14,40,70,13,0,0,0,0
Jamshedpur,202,PM2.5,11,16,141,165,1527,17,3,45,2,0
Dehradun,242,PM10,9,3,169,373,1101,28,5,19,13,0
Yinchuan,113,PM2.5,2,10,46,83,1076,31,0,0,0,0
Jilin,69,PM2.5,17,4,19,29,506,16,0,0,0,0
Srinagar,163,PM2.5,42,5,74,116,764,5,10,27,14,0
Fort Worth,41,PM2.5,35,0,8,32,196,13,0,2,0,0
Batam,163,PM2.5,42,5,74,116,764,5,10,27,14,0
Agadir,32,O3,32,1,7,15,120,4,0,0,0,0
Ulaanbaatar,190,PM2.5,15,32,116,116,286,24,0,0,0,0
Mudanjiang,107,PM2.5,11,2,36,60,711,9,0,0,0,0
Marseille,83,PM2.5,11,0,30,30,293,34,0,45,1,0
Makassar,35,PM2.5,17,1,12,31,237,11,0,0,0,0
Yichang,91,PM2.5,16,2,28,46,403,7,0,0,0,0
Guiping,97,PM2.5,17,5,32,64,568,14,0,0,0,0
Jiujiang,80,PM2.5,2,3,23,54,551,28,0,0,0,0
Qinhuangdao,170,PM2.5,8,5,91,182,669,15,14,33,5,0
Southampton,80,PM2.5,2,3,23,54,551,28,0,0,0,0
Philadelphia,88,PM2.5,18,3,32,57,317,32,1,19,0,0
Laiwu,176,PM2.5,2,3,115,136,837,28,0,0,0,0
Cordoba,45,PM2.5,18,0,14,18,113,6,0,0,0,0
Arequipa,42,O3,33,1,6,10,111,5,0,0,0,0
Qiqihaer,38,PM2.5,20,18,7,17,336,8,0,0,0,0
Ciudad Guayana,12,O3,9,0,2,3,112,3,0,0,0,0
Xining,29,PM2.5,19,0,6,9,141,5,0,0,0,0
Zamboanga City,41,PM2.5,21,0,11,17,88,9,0,0,0,0
Karaj,40,PM2.5,19,0,9,20,360,15,10,33,0,0
Veracruz,54,PM2.5,37,1,12,21,159,5,0,0,0,0
San Antonio,48,PM10,28,0,13,60,168,15,0,2,0,0
Jacksonville,45,PM2.5,39,1,12,38,400,15,0,0,0,0
San Pedro Sula,45,PM2.5,39,1,12,38,400,15,0,0,0,0
Calgary,44,PM2.5,22,0,9,24,477,29,9,22,0,0
Zhucheng,64,PM2.5,32,1,21,42,101,27,1,5,0,0
Hengyang,120,PM2.5,1,3,48,61,720,20,0,0,0,0
Pathum Thani,153,PM2.5,13,5,68,105,1314,41,0,0,0,0
Daejon,28,O3,29,0,1,2,125,6,9,19,0,0
Rajshahi,163,PM2.5,10,2,77,109,562,13,2,10,1,0
Monrovia,54,PM10,45,0,12,57,235,22,1,7,0,0
Chengde,51,PM2.5,31,1,15,52,214,11,6,14,0,0
Tiruppur,34,PM2.5,1,4,5,11,203,13,1,25,0,0
Rosario,52,PM2.5,30,0,13,35,111,10,0,0,0,0
