city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Tokyo,56,PM2.5,30,3,15,47,351,55,3,26,0,105
Delhi,210,PM2.5,25,8,147,366,1050,56,2,24,3,0
Shanghai,84,PM2.5,17,3,30,69,627,29,0,0,0,0
Sao Paulo,96,PM2.5,57,10,38,60,709,40,0,0,0,0
Mexico City,96,PM2.5,57,10,38,60,709,40,0,0,0,0
Dhaka,183,PM2.5,49,10,102,170,681,15,0,8,0,0
Cairo,87,PM2.5,31,28,28,46,177,15,0,0,0,0
Beijing,76,PM2.5,13,1,26,65,343,53,0,0,0,0
Mumbai,134,PM2.5,14,6,37,96,432,43,5,20,3,0
Osaka,21,O3,22,0,2,8,189,9,2,11,0,0
Karachi,83,PM2.5,51,3,25,46,279,6,0,0,0,0
Chongqing,121,PM2.5,11,4,45,80,915,33,0,0,0,0
Istanbul,88,PM2.5,4,4,28,59,2126,48,0,0,0,0
Buenos Aires,47,PM2.5,16,4,14,21,104,17,0,0,0,0
Kolkata,180,PM2.5,52,9,115,244,870,31,23,26,9,0
