city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Tokyo,60,PM2.5,20,2,18,49,382,61,2,29,0,137
Delhi,196,PM2.5,17,6,124,305,1351,42,2,12,3,0
Shanghai,88,PM2.5,8,3,30,65,692,38,0,0,0,0
Sao Paulo,92,PM2.5,6,1,27,76,782,79,0,0,3,0
Mexico City,61,PM2.5,16,2,21,32,529,28,0,0,0,0
Dhaka,191,PM2.5,13,10,147,208,940,21,0,16,0,0
Cairo,80,PM2.5,28,24,25,40,205,21,0,0,0,0
Beijing,80,PM2.5,5,1,32,67,471,66,0,0,0,0
Mumbai,116,PM2.5,15,6,40,108,361,41,5,19,3,0
Osaka,20,O3,19,0,2,8,215,11,2,12,0,0
Karachi,84,PM2.5,45,5,27,43,445,14,0,0,0,0
Chongqing,123,PM2.5,3,3,46,93,1055,42,0,0,0,0
Istanbul,95,PM2.5,5,4,34,64,2118,52,0,0,0,0
Buenos Aires,54,PM2.5,17,5,14,26,113,28,0,0,0,0
Kolkata,178,PM2.5,37,8,103,226,925,34,5,32,11,0
