city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Tokyo,63,PM2.5,16,1,19,46,512,61,3,33,0,189
Delhi,193,PM2.5,5,5,127,255,1864,57,9,36,3,0
Shanghai,89,PM2.5,5,2,31,73,785,41,0,0,0,0
Sao Paulo,96,PM2.5,57,1,36,72,561,60,0,0,3,0
Mexico City,63,PM2.5,19,2,19,30,593,26,0,0,0,0
Dhaka,213,PM2.5,4,10,193,268,1242,26,2,29,0,0
Cairo,79,PM2.5,19,26,25,39,241,30,0,0,0,0
Beijing,91,PM2.5,2,1,33,72,504,59,0,0,0,0
Mumbai,123,PM2.5,17,6,48,106,461,45,6,24,3,0
Osaka,19,O3,16,0,5,28,227,19,3,18,0,0
