,URL
0,Montevideo
1,Mosul
2,Novosibirsk
3,Tabriz
4,Muscat
5,Harare
6,Tegucigalpa
7,Onitsha
8,N-Djamena
9,Mandalay
10,Basra
11,Taizhou Jiangsu
12,Nouakchott
13,Homs
14,Ganzhou
15,Cochabamba
16,Niamey
17,Jiaxing
18,Helsinki
19,Prague
20,Mianyang Sichuan
21,Antalya
22,Pointe-Noire
23,Freetown
24,San Luis Potosi
25,Mysore
26,Durg-Bhilainagar
27,Astana
28,Ruian
29,Uyo
30,Zhenjiang Jiangsu
31,Bhubaneswar
32,Mendoza
33,Chiang Mai
34,Mwanza
35,Omsk
36,Nanyang Henan
37,Jinhua
38,Kigali
39,Tripoli
40,Krasnoyarsk
41,Kaduna
42,Bukavu
43,Maputo
44,San Salvador
45,Shimkent
46,Bujumbura
47,Bishkek
48,Hargeysa
49,Asmara
50,Ilorin
51,Dushanbe
52,Misratah
53,Bangui
54,Owerri
55,Nampula
56,Lubango
57,Ashgabat
58,Libreville
59,Banghazi
