,city,area,unit,url
0,Tokyo,627.6,km2,https://www.google.com/search?q=Tokyo+surface+area
1,Delhi,1.484,km2,https://www.google.com/search?q=Delhi+surface+area
2,Shanghai,6.340,km2,https://www.google.com/search?q=Shanghai+surface+area
3,Sao Paulo,1.521,km2,https://www.google.com/search?q=Sao+Paulo+surface+area
4,Mexico City,1.485,km2,https://www.google.com/search?q=Mexico+City+surface+area
5,Dhaka,306.4,km2,https://www.google.com/search?q=Dhaka+surface+area
6,Cairo,3.085,km2,https://www.google.com/search?q=Cairo+surface+area
7,Beijing,16.411,km2,https://www.google.com/search?q=Beijing+surface+area
8,Mumbai,603.4,km2,https://www.google.com/search?q=Mumbai+surface+area
9,Osaka,223,km2,https://www.google.com/search?q=Osaka+surface+area
10,Karachi,3.780,km2,https://www.google.com/search?q=Karachi+surface+area
11,Chongqing,82.300,km2,https://www.google.com/search?q=Chongqing+surface+area
12,Istanbul,5.343,km2,https://www.google.com/search?q=Istanbul+surface+area
13,Buenos Aires,203,km2,https://www.google.com/search?q=Buenos+Aires+surface+area
14,Kolkata,206.1,km2,https://www.google.com/search?q=Kolkata+surface+area
15,Kinshasa,9.965,km2,https://www.google.com/search?q=Kinshasa+surface+area
16,Lagos,1.171,km2,https://www.google.com/search?q=Lagos+surface+area
17,Manila,42.88,km2,https://www.google.com/search?q=Manila+surface+area
18,Tianjin,11.760,km2,https://www.google.com/search?q=Tianjin+surface+area
19,Guangzhou,7.434,km2,https://www.google.com/search?q=Guangzhou+surface+area
20,Rio de Janeiro,1.255,km2,https://www.google.com/search?q=Rio+de+Janeiro+surface+area
21,Lahore,1.772,km2,https://www.google.com/search?q=Lahore+surface+area
22,Bangalore,741,km2,https://www.google.com/search?q=Bangalore+surface+area
23,Moscow,2.511,km2,https://www.google.com/search?q=Moscow+surface+area
24,Shenzhen,2.050,km2,https://www.google.com/search?q=Shenzhen+surface+area
25,Chennai,426,km2,https://www.google.com/search?q=Chennai+surface+area
26,Bogota,1.775,km2,https://www.google.com/search?q=Bogota+surface+area
27,Paris,105.4,km2,https://www.google.com/search?q=Paris+surface+area
28,Jakarta,661.5,km2,https://www.google.com/search?q=Jakarta+surface+area
29,Lima,2.672,km2,https://www.google.com/search?q=Lima+surface+area
30,Bangkok,1.569,km2,https://www.google.com/search?q=Bangkok+surface+area
31,Hyderabad,650,km2,https://www.google.com/search?q=Hyderabad+surface+area
32,Seoul,605.2,km2,https://www.google.com/search?q=Seoul+surface+area
33,Nagoya,326.4,km2,https://www.google.com/search?q=Nagoya+surface+area
34,London,1.572,km2,https://www.google.com/search?q=London+surface+area
35,Chengdu,14.378,km2,https://www.google.com/search?q=Chengdu+surface+area
36,Tehran,730,km2,https://www.google.com/search?q=Tehran+surface+area
37,Nanjing,6.596,km2,https://www.google.com/search?q=Nanjing+surface+area
38,Ho Chi Minh City,2.061,km2,https://www.google.com/search?q=Ho+Chi+Minh+City+surface+area
39,Luanda,113,km2,https://www.google.com/search?q=Luanda+surface+area
40,Wuhan,8.494,km2,https://www.google.com/search?q=Wuhan+surface+area
41,Xi-an Shaanxi,10.097,km2,https://www.google.com/search?q=Xi-an+Shaanxi+surface+area
42,Ahmedabad,464,km2,https://www.google.com/search?q=Ahmedabad+surface+area
