,city,Temp_avg,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,Tokyo,17,7,7,10,15,20,23,26,28,25,19,14,9
1,Delhi,26,14,18,23,29,33,33,32,31,30,27,21,16
2,Shanghai,17,5,7,10,16,21,25,29,29,25,20,14,7
3,Sao Paulo,21,24,24,23,22,19,18,18,19,19,21,22,23
4,Mexico City,17,14,16,17,19,20,19,19,19,18,17,16,14
5,Dhaka,27,19,23,27,29,30,30,30,30,30,28,25,21
6,Cairo,22,14,15,18,22,25,28,29,29,28,25,20,16
7,Beijing,13,-3,0,7,14,21,25,27,26,21,14,5,-1
8,Mumbai,28,24,25,27,29,30,30,28,28,28,29,28,26
9,Osaka,17,6,6,10,16,21,25,29,30,26,20,14,8
10,Karachi,27,19,22,26,29,31,32,31,30,30,29,25,21
11,Chongqing,19,8,10,14,19,23,25,29,29,24,19,14,9
12,Istanbul,15,6,6,8,13,17,22,25,26,21,17,12,8
13,Buenos Aires,,,,,,,,,,,,,
14,Kolkata,27,19,23,28,30,31,30,30,30,30,28,25,20
15,Kinshasa,26,27,27,27,28,27,25,24,25,26,27,27,26
16,Lagos,28,28,29,30,29,28,27,26,26,26,27,28,28
17,Manila,28,26,26,28,29,29,29,28,28,28,28,28,27
18,Tianjin,13,-3,1,7,15,21,25,27,26,22,15,6,-1
19,Guangzhou,23,14,16,19,23,27,29,30,30,28,25,21,16
20,Rio de Janeiro,25,27,28,27,26,23,23,22,22,23,24,25,26
21,Lahore,24,12,16,21,27,32,33,31,31,29,26,20,14
22,Bangalore,,,,,,,,,,,,,
23,Moscow,6,-8,-7,-1,7,14,17,20,18,12,6,1,-3
24,Shenzhen,24,16,17,20,23,27,29,29,29,28,26,22,18
25,Chennai,29,25,27,29,31,33,32,31,30,30,29,27,26
26,Bogota,14,13,14,14,14,14,14,13,13,13,14,14,14
27,Paris,12,4,5,8,12,14,17,20,19,16,12,8,5
28,Jakarta,29,28,28,29,29,29,29,29,29,29,30,29,28
29,Lima,20,23,24,23,21,20,18,17,17,17,18,19,21
30,Bangkok,30,28,30,31,32,31,30,30,30,29,29,29,28
31,Hyderabad,27,23,25,29,31,34,30,28,27,27,26,24,23
32,Seoul,12,-3,0,5,11,17,22,25,26,21,15,7,0
33,Nagoya,16,5,6,9,15,19,23,27,28,25,19,13,7
34,London,12,6,6,8,11,14,17,19,18,16,13,9,6
35,Chengdu,17,6,9,13,18,22,25,26,26,23,18,13,8
36,Tehran,18,5,7,11,17,23,28,31,30,26,20,12,7
37,Nanjing,16,3,5,10,16,21,25,29,28,24,18,11,5
38,Ho Chi Minh City,28,27,28,29,30,30,29,28,28,28,28,28,27
39,Luanda,25,27,27,28,28,27,23,22,22,23,25,27,27
40,Wuhan,17,4,7,11,18,23,26,29,29,24,19,12,7
41,Xi-an Shaanxi,14,0,4,9,15,20,25,27,25,21,15,7,2
42,Ahmedabad,,,,,,,,,,,,,
43,New York City,13,1,2,6,12,17,22,25,24,20,14,9,4
44,Kuala Lumpur,,,,,,,,,,,,,
45,Hangzhou,17,5,7,11,17,22,25,30,29,24,19,13,7
46,Hong Kong,,,,,,,,,,,,,
47,Surat,28,20,23,28,32,35,33,30,29,30,29,25,22
48,Dongguan,,,,,,,,,,,,,
49,Suzhou,17,5,7,10,16,21,25,29,29,25,20,14,7
50,Foshan,23,14,16,19,23,27,29,30,30,28,25,21,16
51,Riyadh,,,,,,,,,,,,,
52,Shenyang,9,-11,-6,1,10,17,22,25,24,18,10,0,-8
53,Baghdad,17,4,6,10,15,21,26,29,29,25,19,11,7
54,Dar es Salaam,26,28,29,28,27,26,25,24,24,25,26,27,28
55,Santiago,15,21,21,19,15,12,10,9,10,12,15,18,20
56,Pune,25,21,23,26,29,30,28,25,25,26,25,23,21
57,Madrid,14,6,7,10,12,16,21,25,25,20,14,9,6
58,Haerbin,,,,,,,,,,,,,
59,Toronto,9,-5,-5,0,7,14,19,22,21,17,10,4,-1
60,Belo Horizonte,22,24,24,23,22,20,19,19,20,22,23,23,23
61,Singapore,28,28,28,29,29,29,29,28,28,28,29,28,28
62,Khartoum,31,24,26,29,33,35,35,33,32,33,33,29,25
63,Johannesburg,17,20,20,19,16,14,11,11,13,17,18,19,20
64,Dalian,,,,,,,,,,,,,
65,Qingdao,,,,,,,,,,,,,
66,Barcelona,16,10,10,12,14,18,21,24,25,22,18,13,10
67,Fukuoka,17,6,7,10,15,20,23,28,28,25,19,14,8
68,Ji-nan Shandong,,,,,,,,,,,,,
69,Zhengzhou,15,1,4,10,16,22,26,28,26,21,17,9,3
70,Saint Petersburg,6,-5,-5,-1,5,11,16,19,17,12,6,0,-3
71,Yangon,28,25,27,29,31,29,27,27,27,27,28,28,25
72,Alexandria,21,14,14,16,19,22,25,27,28,26,23,19,15
73,Abidjan,27,28,29,29,29,28,27,26,25,26,27,28,28
74,Guadalajara,20,16,18,19,22,24,23,22,22,21,20,18,16
75,Ankara,12,1,2,6,11,16,20,24,24,19,13,7,2
76,Chittagong,26,20,23,26,28,29,29,28,28,29,28,25,21
77,Melbourne,16,22,22,20,16,13,11,11,12,14,16,18,19
78,Addis Ababa,17,16,18,19,19,19,18,17,16,17,17,16,16
79,Sydney,18,23,23,22,19,16,14,13,14,16,18,20,22
80,Monterrey,24,16,18,22,25,28,30,30,30,27,24,20,16
81,Nairobi,20,20,21,21,21,20,18,17,18,19,20,20,20
82,Hanoi,25,16,19,21,25,28,30,30,29,28,26,23,18
83,Brasilia,22,23,23,23,23,21,20,19,21,23,24,23,23
84,Cape Town,17,22,22,21,18,16,13,13,13,15,17,19,21
85,Jiddah,29,24,24,26,29,31,32,33,33,32,31,28,26
86,Changsha,18,5,8,13,18,23,27,30,29,25,20,14,8
87,Kunming,16,10,12,15,18,20,21,21,20,19,16,13,10
88,Urumqi,8,-12,-9,1,12,17,22,24,23,17,10,0,-9
89,Changchun,6,-15,-10,-2,8,16,21,23,22,16,8,-3,-12
90,Xinbei,,,,,,,,,,,,,
91,Shantou,23,15,15,18,22,25,28,29,29,28,25,21,16
92,Hefei,16,3,5,10,16,22,25,29,28,24,18,11,5
93,Kabul,15,2,5,9,17,21,26,26,24,21,16,9,3
94,Rome,16,8,8,11,14,18,22,25,25,21,17,12,8
95,Ningbo,17,6,7,10,15,20,24,28,28,25,20,15,8
96,Tel Aviv,,,,,,,,,,,,,
97,Montreal,7,-9,-8,-2,7,14,19,21,20,16,9,2,-5
