,city,area,unit,url
552,Yulin Shaanxi,43.578,km2,https://www.google.com/search?q=Yulin+Shaanxi+surface+area
553,Nanded Waghala,63.22,km2,https://www.google.com/search?q=Nanded+Waghala+surface+area
554,Tirupati,27.44,km2,https://www.google.com/search?q=Tirupati+surface+area
555,Bacoor,52.4,km2,https://www.google.com/search?q=Bacoor+surface+area
556,Malanje,2.422,km2,https://www.google.com/search?q=Malanje+surface+area
557,The Hague,98.13,km2,https://www.google.com/search?q=The+Hague+surface+area
558,Seville,140,km2,https://www.google.com/search?q=Seville+surface+area
559,Cotonou,79,km2,https://www.google.com/search?q=Cotonou+surface+area
560,Dongtai,3.176,km2,https://www.google.com/search?q=Dongtai+surface+area
561,Bali,5.780,km2,https://www.google.com/search?q=Bali+surface+area
562,Boston,232.1,km2,https://www.google.com/search?q=Boston+surface+area
563,Yuxi,15.285,km2,https://www.google.com/search?q=Yuxi+surface+area
564,Vientiane,3.920,km2,https://www.google.com/search?q=Vientiane+surface+area
565,Bristol,110,km2,https://www.google.com/search?q=Bristol+surface+area
566,Akure,991,km2,https://www.google.com/search?q=Akure+surface+area
567,Cheonan,636.2,km2,https://www.google.com/search?q=Cheonan+surface+area
568,Jundiai,431.2,km2,https://www.google.com/search?q=Jundiai+surface+area
569,Gulbarga,192,km2,https://www.google.com/search?q=Gulbarga+surface+area
570,Padova,92.85,km2,https://www.google.com/search?q=Padova+surface+area
571,Durgapur,154,km2,https://www.google.com/search?q=Durgapur+surface+area
572,Kurnool,69.51,km2,https://www.google.com/search?q=Kurnool+surface+area
573,El Paso,671.5,km2,https://www.google.com/search?q=El+Paso+surface+area
574,Nantes,65.19,km2,https://www.google.com/search?q=Nantes+surface+area
575,Zagreb,641,km2,https://www.google.com/search?q=Zagreb+surface+area
576,Nashville,1.362,km2,https://www.google.com/search?q=Nashville+surface+area
577,Genoa,243,km2,https://www.google.com/search?q=Genoa+surface+area
578,Ezhou,1.594,km2,https://www.google.com/search?q=Ezhou+surface+area
579,Santiago,641,km2,https://www.google.com/search?q=Santiago+surface+area
580,Mar Del Plata,79.48,km2,https://www.google.com/search?q=Mar+Del+Plata+surface+area
581,Lodz,293.2,km2,https://www.google.com/search?q=Lodz+surface+area
582,Oklahoma City,1.608,km2,https://www.google.com/search?q=Oklahoma+City+surface+area
583,Las Vegas,352,km2,https://www.google.com/search?q=Las+Vegas+surface+area
584,General Santos City,492.9,km2,https://www.google.com/search?q=General+Santos+City+surface+area
585,Detroit,370.1,km2,https://www.google.com/search?q=Detroit+surface+area
586,Manama,30,km2,https://www.google.com/search?q=Manama+surface+area
587,Portland,375.5,km2,https://www.google.com/search?q=Portland+surface+area
588,Sokoto,25.973,km2,https://www.google.com/search?q=Sokoto+surface+area
589,Macao,115.3,km2,https://www.google.com/search?q=Macao+surface+area
590,Zhoushan,1.378,km2,https://www.google.com/search?q=Zhoushan+surface+area
591,Jhansi,160,km2,https://www.google.com/search?q=Jhansi+surface+area
592,Memphis,789,km2,https://www.google.com/search?q=Memphis+surface+area
593,As-Suways,250.4,km2,https://www.google.com/search?q=As-Suways+surface+area
594,Doha,132,km2,https://www.google.com/search?q=Doha+surface+area
595,Chiclayo,174.5,km2,https://www.google.com/search?q=Chiclayo+surface+area
596,Wuhai,1.754,km2,https://www.google.com/search?q=Wuhai+surface+area
597,Be'er Sheva,117.5,km2,https://www.google.com/search?q=Be'er+Sheva+surface+area
598,Durango,10.041,km2,https://www.google.com/search?q=Durango+surface+area
599,Bokaro Steel City,183,km2,https://www.google.com/search?q=Bokaro+Steel+City+surface+area
600,Wroclaw,292.8,km2,https://www.google.com/search?q=Wroclaw+surface+area
601,Irkutsk,280,km2,https://www.google.com/search?q=Irkutsk+surface+area
602,Barnaul,321,km2,https://www.google.com/search?q=Barnaul+surface+area
603,Nay Pyi Taw,7.054,km2,https://www.google.com/search?q=Nay+Pyi+Taw+surface+area
604,Bulawayo,1.707,km2,https://www.google.com/search?q=Bulawayo+surface+area
605,Venezia,414.6,km2,https://www.google.com/search?q=Venezia+surface+area
606,Jambi,205.4,km2,https://www.google.com/search?q=Jambi+surface+area
607,Khabarovsk,383,km2,https://www.google.com/search?q=Khabarovsk+surface+area
608,Duesseldorf,217.4,km2,https://www.google.com/search?q=Duesseldorf+surface+area
609,Belfast,115,km2,https://www.google.com/search?q=Belfast+surface+area
610,Stuttgart,207.4,km2,https://www.google.com/search?q=Stuttgart+surface+area
611,Riga,304,km2,https://www.google.com/search?q=Riga+surface+area
612,Bandar Abbas,27.316,km2,https://www.google.com/search?q=Bandar+Abbas+surface+area
613,Kolhapur,66.82,km2,https://www.google.com/search?q=Kolhapur+surface+area
614,Bacolod,161.4,km2,https://www.google.com/search?q=Bacolod+surface+area
615,Ulyanovsk,622.5,km2,https://www.google.com/search?q=Ulyanovsk+surface+area
616,Al-Ain,15.100,km2,https://www.google.com/search?q=Al-Ain+surface+area
617,Bari,117,km2,https://www.google.com/search?q=Bari+surface+area
618,Yulin Guangxi,12.828,km2,https://www.google.com/search?q=Yulin+Guangxi+surface+area
