,Unnamed: 0,city,area,unit,url
280,280,Budapest,525.2,km2,https://www.google.com/search?q=Budapest+surface+area
281,281,Madurai,148,km2,https://www.google.com/search?q=Madurai+surface+area
282,282,Montevideo,200,km2,https://www.google.com/search?q=Montevideo+surface+area
283,283,Quanzhou,11.219,km2,https://www.google.com/search?q=Quanzhou+surface+area
284,284,Palembang,400.6,km2,https://www.google.com/search?q=Palembang+surface+area
285,285,Santa Cruz,41,km2,https://www.google.com/search?q=Santa+Cruz+surface+area
287,287,Gaziantep,6.819,km2,https://www.google.com/search?q=Gaziantep+surface+area
288,288,Sharjah,235.5,km2,https://www.google.com/search?q=Sharjah+surface+area
289,289,Phoenix,1.338,km2,https://www.google.com/search?q=Phoenix+surface+area
290,290,Lyon,47.87,km2,https://www.google.com/search?q=Lyon+surface+area
291,291,Meerut,450,km2,https://www.google.com/search?q=Meerut+surface+area
292,292,Jiangmen,9.443,km2,https://www.google.com/search?q=Jiangmen+surface+area
293,293,Can Tho,1.439,km2,https://www.google.com/search?q=Can+Tho+surface+area
294,294,Raipur,226,km2,https://www.google.com/search?q=Raipur+surface+area
297,297,Mosul,180,km2,https://www.google.com/search?q=Mosul+surface+area
298,298,Glasgow,175,km2,https://www.google.com/search?q=Glasgow+surface+area
299,299,Novosibirsk,502.7,km2,https://www.google.com/search?q=Novosibirsk+surface+area
303,303,Stockholm,188,km2,https://www.google.com/search?q=Stockholm+surface+area
305,305,Auckland,1.086,km2,https://www.google.com/search?q=Auckland+surface+area
306,306,Jamshedpur,224,km2,https://www.google.com/search?q=Jamshedpur+surface+area
307,307,Tabriz,324,km2,https://www.google.com/search?q=Tabriz+surface+area
308,308,Yinchuan,8.875,km2,https://www.google.com/search?q=Yinchuan+surface+area
309,309,Jilin,27.166,km2,https://www.google.com/search?q=Jilin+surface+area
310,310,Srinagar,294,km2,https://www.google.com/search?q=Srinagar+surface+area
311,311,Batam,1.595,km2,https://www.google.com/search?q=Batam+surface+area
312,312,Ulaanbaatar,4.704,km2,https://www.google.com/search?q=Ulaanbaatar+surface+area
313,313,Marseille,240.6,km2,https://www.google.com/search?q=Marseille+surface+area
314,314,Makassar,175.8,km2,https://www.google.com/search?q=Makassar+surface+area
316,316,Aurangabad,139,km2,https://www.google.com/search?q=Aurangabad+surface+area
317,317,Muscat,3.500,km2,https://www.google.com/search?q=Muscat+surface+area
319,319,Philadelphia,367,km2,https://www.google.com/search?q=Philadelphia+surface+area
321,321,Qiqihaer,42.206,km2,https://www.google.com/search?q=Qiqihaer+surface+area
322,322,Xining,7.596,km2,https://www.google.com/search?q=Xining+surface+area
324,324,San Antonio,1.307,km2,https://www.google.com/search?q=San+Antonio+surface+area
325,325,Calgary,825.3,km2,https://www.google.com/search?q=Calgary+surface+area
327,327,Daejon,539.8,km2,https://www.google.com/search?q=Daejon+surface+area
328,328,Monrovia,35.59,km2,https://www.google.com/search?q=Monrovia+surface+area
329,329,Tiruppur,159.6,km2,https://www.google.com/search?q=Tiruppur+surface+area
331,331,Munich,310.7,km2,https://www.google.com/search?q=Munich+surface+area
333,333,Harare,960.6,km2,https://www.google.com/search?q=Harare+surface+area
334,334,Ciudad Juarez,321.2,km2,https://www.google.com/search?q=Ciudad+Juarez+surface+area
336,336,Kananga,743,km2,https://www.google.com/search?q=Kananga+surface+area
337,337,Gwangju,501.2,km2,https://www.google.com/search?q=Gwangju+surface+area
