"rank","Name","Country","Population","Prev","Growth"
"294","Can Tho","Vietnam","1703487","1617602","0.0531"
"295","Raipur","India","1702048","1642169","0.0365"
"296","Varanasi","India","1692509","1664942","0.0166"
"297","Xiangyang","China","1684991","1657726","0.0164"
"298","Mosul","Iraq","1683029","1629932","0.0326"
"299","Glasgow","United Kingdom","1680669","1673332","0.0044"
"300","Novosibirsk","Russia","1675866","1663748","0.0073"
"301","Shiraz","Iran","1675226","1651362","0.0145"
"302","La Laguna","Mexico","1674258","1614854","0.0368"
"303","Cixi","China","1672457","1609221","0.0393"
"304","Stockholm","Sweden","1656571","1632798","0.0146"
"305","Anshan","China","1647001","1629166","0.0109"
"306","Auckland","New Zealand","1630092","1606564","0.0146"
"307","Jamshedpur","India","1629621","1599434","0.0189"
"308","Tabriz","Iran","1627304","1611133","0.0100"
"309","Yinchuan","China","1626584","1579049","0.0301"
"310","Jilin","China","1623240","1603332","0.0124"
"311","Srinagar","India","1622454","1585774","0.0231"
"312","Batam","Indonesia","1617168","1546064","0.0460"
"313","Ulaanbaatar","Mongolia","1615094","1584358","0.0194"
"314","Marseille","France","1613797","1608236","0.0035"
"315","Makassar","Indonesia","1612249","1583553","0.0181"
"316","Yichang","China","1605526","1548423","0.0369"
"317","Aurangabad","India","1599927","1558412","0.0266"
"318","Muscat","Oman","1589865","1549729","0.0259"
"319","Qinhuangdao","China","1585961","1535223","0.0330"
"320","Philadelphia","United States","1585010","1584540","0.0003"
"321","Cordoba","Argentina","1584599","1571944","0.0081"
"322","Qiqihaer","China","1583663","1559581","0.0154"
"323","Xining","China","1583164","1539437","0.0284"
"324","Karaj","Iran","1582351","1580413","0.0012"
"325","San Antonio","United States","1581730","1564490","0.0110"
"326","Calgary","Canada","1580659","1547484","0.0214"
"327","Hengyang","China","1573731","1527107","0.0305"
"328","Daejon","South Korea","1569459","1565656","0.0024"
"329","Monrovia","Liberia","1569013","1517235","0.0341"
"330","Tiruppur","India","1558993","1496389","0.0418"
"331","Rosario","Argentina","1553530","1532128","0.0140"
"332","Munich","Germany","1553373","1538302","0.0098"
"333","Gaoxiong","Taiwan","1541861","1537640","0.0027"
"334","Harare","Zimbabwe","1541824","1529920","0.0078"
"335","Ciudad Juarez","Mexico","1539758","1519214","0.0135"
"336","Anyang","China","1524622","1460114","0.0442"
"337","Kananga","DR Congo","1524234","1458400","0.0451"
"338","Gwangju","South Korea","1523822","1521506","0.0015"
"339","Suqian","China","1520240","1440060","0.0557"
"340","Jining Shandong","China","1518329","1494249","0.0161"
"341","Medina","Saudi Arabia","1517501","1488782","0.0193"
"342","Yekaterinburg","Russia","1513142","1503812","0.0062"
"343","Abu Dhabi","United Arab Emirates","1511768","1482816","0.0195"
"344","Jodhpur","India","1509826","1471900","0.0258"
"345","Grande Sao Luis","Brazil","1498475","1485763","0.0086"
"346","Edmonton","Canada","1491076","1461182","0.0205"
"347","Natal","Brazil","1485363","1456844","0.0196"
"348","Tegucigalpa","Honduras","1485300","1444085","0.0285"
"349","Onitsha","Nigeria","1482971","1414790","0.0482"
"350","N-Djamena","Chad","1476115","1422547","0.0377"
"351","Ranchi","India","1474748","1439195","0.0247"
"352","Kathmandu","Nepal","1471867","1423515","0.0340"
"353","Jabalpur","India","1471644","1449787","0.0151"
"354","Mandalay","Myanmar","1469193","1437554","0.0220"
"355","Zhangjiakou","China","1468954","1434649","0.0239"
"356","Huainan","China","1461918","1437838","0.0167"
"357","Asansol","India","1453747","1431260","0.0157"
"358","Chaozhou","China","1449830","1428383","0.0150"
"359","Kota","India","1430870","1386877","0.0317"
"360","San Diego","United States","1427720","1425780","0.0014"
"361","Kharkiv","Ukraine","1425987","1429004","-0.0021"
"362","San Jose","Costa Rica","1420533","1399629","0.0149"
"363","Chon Buri","Thailand","1417247","1398645","0.0133"
"364","Allahabad","India","1415463","1393723","0.0156"
"365","Gwalior","India","1409820","1378375","0.0228"
"366","Ottawa","Canada","1407928","1393086","0.0107"
"367","Zurich","Switzerland","1407572","1395356","0.0088"
"368","Belgrade","Serbia","1401786","1397939","0.0028"
"369","Amritsar","India","1400311","1377371","0.0167"
"370","Joao Pessoa","Brazil","1393345","1378249","0.0110"
"371","Yiwu","China","1386791","1334356","0.0393"
"372","Basra","Iraq","1381731","1352210","0.0218"
"373","Taizhou Jiangsu","China","1381569","1348056","0.0249"
"374","Nouakchott","Mauritania","1372244","1314636","0.0438"
"375","Queretaro","Mexico","1364446","1339103","0.0189"
"376","Taian Shandong","China","1364154","1338828","0.0189"
"377","Homs","Syria","1362480","1335804","0.0200"
"378","Copenhagen","Denmark","1358608","1346485","0.0090"
"379","Konya","Turkey","1356280","1328136","0.0212"
"380","Bucaramanga","Colombia","1348882","1331453","0.0131"
"381","Dhanbad","India","1348238","1331186","0.0128"
"382","Weihai","China","1347865","1304315","0.0334"
"383","Dallas","United States","1347120","1345340","0.0013"
"384","Ganzhou","China","1347065","1285039","0.0483"
"385","Adelaide","Australia","1345445","1336403","0.0068"
"386","Hai Phong","Vietnam","1341015","1300088","0.0315"
"387","Mombasa","Kenya","1340913","1295975","0.0347"
"388","Taizhong","Taiwan","1338086","1320591","0.0132"
"389","Maceio","Brazil","1336999","1323039","0.0106"
"390","Cochabamba","Bolivia","1336752","1303907","0.0252"
"391","Niamey","Niger","1335700","1291848","0.0339"
"392","Suweon","South Korea","1331826","1311321","0.0156"
"393","Samut Prakan","Thailand","1324319","1306937","0.0133"
"394","Joinville","Brazil","1319042","1303141","0.0122"
"395","Jiaxing","China","1318418","1259844","0.0465"
"396","Kaifeng","China","1317530","1274287","0.0339"
"397","Helsinki","Finland","1316757","1304851","0.0091"
"398","Porto","Portugal","1316445","1312947","0.0027"
"399","Zhanjiang","China","1315369","1286854","0.0222"
"400","Zunyi","China","1313433","1280960","0.0254"
"401","Rizhao","China","1312824","1270948","0.0329"
"402","Kisangani","DR Congo","1312353","1261310","0.0405"
"403","Prague","Czech Republic","1312199","1305737","0.0049"
"404","Dongying","China","1311494","1276028","0.0278"
"405","Qom","Iran","1311172","1287937","0.0180"
"406","Mianyang Sichuan","China","1300725","1275851","0.0195"
"407","Nanchong","China","1299462","1257726","0.0332"
"408","Fushun Liaoning","China","1288357","1285387","0.0023"
"409","Antalya","Turkey","1287439","1253872","0.0268"
"410","Bareilly","India","1285964","1255287","0.0244"
"411","Sofia","Bulgaria","1284311","1280968","0.0026"
"412","Shiyan","China","1280495","1241450","0.0315"
"413","Kazan","Russia","1279794","1272063","0.0061"
"414","Ad-Dammam","Saudi Arabia","1279092","1252523","0.0212"
"415","Port Elizabeth","South Africa","1266533","1253742","0.0102"
"416","Ahvaz","Iran","1261042","1244250","0.0135"
"417","Liuan","China","1260817","1195907","0.0543"
"418","Florianopolis","Brazil","1259112","1239331","0.0160"
"419","Nizhniy Novgorod","Russia","1255073","1257754","-0.0021"
"420","Pointe-Noire","Republic of the Congo","1253939","1214281","0.0327"
"421","Yingkou","China","1251867","1214047","0.0312"
"422","Fes","Morocco","1245303","1224080","0.0173"
"423","Aligarh","India","1244591","1210554","0.0281"
"424","Liuyang","China","1242055","1169044","0.0625"
"425","Dublin","Ireland","1241953","1228179","0.0112"
"426","Maoming","China","1238809","1204716","0.0283"
"427","Tanger","Morocco","1238322","1197923","0.0337"
"428","Pekan Baru","Indonesia","1238274","1204883","0.0277"
"429","Tengzhou","China","1236764","1189963","0.0393"
"430","Freetown","Sierra Leone","1236425","1201900","0.0287"
"431","San Luis Potosi","Mexico","1235426","1216564","0.0155"
"432","Mysore","India","1234992","1209836","0.0208"
"433","Chelyabinsk","Russia","1232887","1227795","0.0041"
"434","Moradabad","India","1232190","1197000","0.0294"
"435","Barquisimeto","Venezuela","1227444","1214362","0.0108"
"436","Durg-Bhilainagar","India","1225129","1207637","0.0145"
"437","Suzhou","China","1219579","1169932","0.0424"
"438","Maracay","Venezuela","1216288","1203227","0.0109"
"439","Astana","Kazakhstan","1211789","1165983","0.0393"
"440","Zhuzhou","China","1209032","1186912","0.0186"
"441","Ruian","China","1208306","1168983","0.0336"
"442","Uyo","Nigeria","1199929","1135775","0.0565"
"443","Zhenjiang Jiangsu","China","1199515","1173816","0.0219"
"444","Baoji","China","1197824","1164665","0.0285"
"445","Jieyang","China","1194681","1146758","0.0418"
"446","Chifeng","China","1194621","1164793","0.0256"
"447","Bhubaneswar","India","1194431","1162886","0.0271"
"448","Pingdingshan Henan","China","1193224","1159981","0.0287"
"449","Puning","China","1192348","1160045","0.0278"
"450","Mendoza","Argentina","1191470","1172619","0.0161"
"451","Bogor","Indonesia","1183090","1159719","0.0202"
"452","Chiang Mai","Thailand","1182498","1166978","0.0133"
"453","Mwanza","Tanzania","1182011","1120430","0.0550"
"454","Tiruchirappalli","India","1181912","1164668","0.0148"
"455","Omsk","Russia","1181590","1182339","-0.0006"
"456","Merida","Mexico","1181387","1161475","0.0171"
"457","Benxi","China","1176490","1157413","0.0165"
"458","Huaibei","China","1174248","1141734","0.0285"
"459","Lilongwe","Malawi","1170870","1121720","0.0438"
"460","Nanyang Henan","China","1170491","1142799","0.0242"
"461","Jinhua","China","1170332","1122440","0.0427"
"462","Xiangtan Hunan","China","1170327","1142976","0.0239"
"463","Kigali","Rwanda","1169889","1132101","0.0334"
"464","Tripoli","Libya","1169790","1165085","0.0040"
"465","Chandigarh","India","1169244","1148472","0.0181"
"466","Jinzhou","China","1168535","1145359","0.0202"
"467","Islamabad","Pakistan","1163584","1129198","0.0305"
"468","Samara","Russia","1160167","1163296","-0.0027"
"469","Amsterdam","Netherlands","1157519","1148972","0.0074"
"470","Da Nang","Vietnam","1156585","1125316","0.0278"
"471","Haifa","Israel","1155006","1147431","0.0066"
"472","Guilin","China","1154702","1134393","0.0179"
"473","Krasnoyarsk","Russia","1148957","1137494","0.0101"
"474","Mexicali","Mexico","1140298","1120872","0.0173"
"475","Ufa","Russia","1139561","1136291","0.0029"
"476","Rostov-on-Don","Russia","1137147","1136201","0.0008"
"477","Hubli-Dharwad","India","1136923","1116728","0.0181"
"478","Guwahati","India","1135065","1116740","0.0164"
"479","Kaduna","Nigeria","1133430","1113210","0.0182"
"480","Bukavu","DR Congo","1133371","1078002","0.0514"
"481","Liupanshui","China","1131854","1077317","0.0506"
"482","Quetta","Pakistan","1129361","1099546","0.0271"
"483","Cologne","Germany","1128652","1118789","0.0088"
"484","Aguascalientes","Mexico","1124909","1106453","0.0167"
"485","Binzhou","China","1124728","1083867","0.0377"
"486","Salem","India","1123873","1102463","0.0194"
"487","Abomey-Calavi","Benin","1122713","1056440","0.0627"
"488","Maputo","Mozambique","1121697","1110477","0.0101"
"489","Bandar Lampung","Indonesia","1114740","1091512","0.0213"
"490","Aba","Nigeria","1114388","1081466","0.0304"
"491","Pizhou","China","1114385","1063231","0.0481"
"492","Nnewi","Nigeria","1113546","1050860","0.0597"
"493","Tasikmalaya","Indonesia","1112112","1056485","0.0527"
"494","San Salvador","El Salvador","1107305","1105766","0.0014"
"495","Yongin","South Korea","1103265","1083345","0.0184"
"496","Zaozhuang","China","1101823","1087745","0.0129"
"497","Xinxiang","China","1100407","1081031","0.0179"
"498","Yueqing","China","1098931","1060702","0.0360"
"499","Luohe","China","1096233","1039941","0.0541"
"500","Saharanpur","India","1094581","1054102","0.0384"
"501","Shimkent","Kazakhstan","1093289","1057936","0.0334"
"502","Cuernavaca","Mexico","1091173","1075022","0.0150"
"503","Yerevan","Armenia","1089181","1086275","0.0027"
"504","Goyang","South Korea","1082815","1069196","0.0127"
"505","Tbilisi","Georgia","1078846","1077833","0.0009"
"506","Chihuahua","Mexico","1075861","1054766","0.0200"
"507","Panjin","China","1075647","1053125","0.0214"
"508","Perm","Russia","1075424","1071419","0.0037"
"509","Bujumbura","Burundi","1074642","1012996","0.0609"
"510","Jalandhar","India","1074383","1053670","0.0197"
"511","Managua","Nicaragua","1072852","1063698","0.0086"
"512","Voronezh","Russia","1072807","1067719","0.0048"
"513","Cartagena","Colombia","1070692","1062622","0.0076"
"514","Wenling","China","1069840","1037164","0.0315"
"515","Lille","France","1068051","1063085","0.0047"
"516","Fuyang","China","1065192","1036162","0.0280"
"517","Bishkek","Kyrgyzstan","1060113","1038429","0.0209"
"518","Diyarbakir","Turkey","1059686","1039492","0.0194"
"519","Bazhong","China","1057600","991820","0.0663"
"520","Siliguri","India","1056551","1020303","0.0355"
"521","Oslo","Norway","1056180","1041377","0.0142"
"522","Shangrao","China","1055178","1028518","0.0259"
"523","Changwon","South Korea","1054775","1055974","-0.0011"
"524","Jingzhou Hubei","China","1054743","1038296","0.0158"
"525","Ma'anshan","China","1051771","1019389","0.0318"
"526","Zhaoqing","China","1050908","1023777","0.0265"
"527","Antwerp","Belgium","1047613","1042471","0.0049"
"528","Kermanshah","Iran","1046604","1025740","0.0203"
"529","Xiongan","China","1045719","969535","0.0786"
"530","Bien Hoa","Vietnam","1045708","1013064","0.0322"
"531","Johor Bahru","Malaysia","1044548","1023900","0.0202"
"532","Solapur","India","1041886","1031037","0.0105"
"533","Samarinda","Indonesia","1041183","1010413","0.0305"
"534","Toulouse","France","1037115","1024166","0.0126"
"535","Mersin","Turkey","1034693","1016019","0.0184"
"536","Hargeysa","Somalia","1033205","988716","0.0450"
"537","Teresina","Brazil","1031220","1021229","0.0098"
"538","Kirkuk","Iraq","1031082","1012614","0.0182"
"539","Fuzhou Jiangxi","China","1028734","989880","0.0393"
"540","Aracaju","Brazil","1026529","1009380","0.0170"
"541","Bobo-Dioulasso","Burkina Faso","1022118","972124","0.0514"
"542","Leshan","China","1022088","986923","0.0356"
"543","Yueyang","China","1021350","1009534","0.0117"
"544","Dezhou","China","1019111","986192","0.0334"
"545","Marrakech","Morocco","1017379","1002709","0.0146"
"546","Tampico","Mexico","1016514","1001278","0.0152"
"547","Huzhou","China","1015538","988351","0.0275"
"548","Rotterdam","Netherlands","1012007","1010026","0.0020"
"549","Aden","Yemen","1011890","980455","0.0321"
"550","Austin","United States","1011790","995347","0.0165"
"551","San Jose","United States","1009340","1015570","-0.0061"
"552","Denpasar","Indonesia","1008709","986853","0.0221"
"553","Odesa","Ukraine","1008508","1009289","-0.0008"
"554","Chenzhou","China","1004240","959881","0.0462"
"555","Xuchang","China","1001570","968135","0.0345"
"556","Volgograd","Russia","1000755","1004688","-0.0039"
"557","Saltillo","Mexico","1000750","983784","0.0172"
"558","San Miguel de Tucuman","Argentina","999907","985656","0.0145"
"559","Asmara","Eritrea","998321","962985","0.0367"
"560","Padang","Indonesia","997358","980455","0.0172"
"561","Cebu City","Philippines","993744","980070","0.0140"
"562","Acapulco de Juarez","Mexico","992205","979381","0.0131"
"563","Valparaiso","Chile","992183","983751","0.0086"
"564","Sekondi Takoradi","Ghana","990661","945519","0.0477"
"565","Ikorodu","Nigeria","989117","937615","0.0549"
"566","Kayseri","Turkey","986987","973506","0.0138"
"567","Warangal","India","983128","959658","0.0245"
"568","Changshu","China","981654","938683","0.0458"
"569","Bordeaux","France","980130","968993","0.0115"
"570","Songkhla","Thailand","979453","966597","0.0133"
"571","Qujing","China","976171","942342","0.0359"
"572","Nonthaburi","Thailand","975497","962694","0.0133"
"573","Yichun Jiangxi","China","975387","918051","0.0625"
"574","Krasnodar","Russia","974377","957214","0.0179"
"575","Ilorin","Nigeria","973671","949866","0.0251"
"576","Cancun","Mexico","971798","943922","0.0295"
"577","Tshikapa","DR Congo","970831","919192","0.0562"
"578","Nyala","Sudan","967430","922532","0.0487"
"579","Xintai","China","966759","936382","0.0324"
"580","Jixi Heilongjiang","China","963278","949646","0.0144"
"581","Blantyre-Limbe","Malawi","962145","932263","0.0321"
"582","Morelia","Mexico","961834","948793","0.0137"
"583","Pingxiang Jiangxi","China","953042","928895","0.0260"
"584","Dnipro","Ukraine","951821","957345","-0.0058"
"585","Khulna","Bangladesh","949229","953745","-0.0047"
"586","Jerusalem","Israel","944188","931756","0.0133"
"587","Cucuta","Colombia","943489","933380","0.0108"
