country,traffic index,co2 emission index
Nigeria,307.47,7925.70
Costa Rica,300.05,9028.50
Sri Lanka,272.63,7417.02
Kenya,271.87,8106.21
Bangladesh,258.31,5065.06
Egypt,235.07,8777.38
Peru,216.44,5656.48
Iran,215.39,7161.07
India,205.21,6005.35
Colombia,198.24,4608.85
Indonesia,195.50,7119.87
Philippines,192.88,6379.59
Jordan,192.83,8130.73
Turkey,191.94,5939.33
South Africa,191.55,9718.01
Lebanon,184.36,9241.10
Russia,181.39,4341.94
Thailand,178.84,7162.56
Mexico,176.10,7044.33
Brazil,175.56,5556.94
Ecuador,171.01,6488.20
Argentina,169.84,4095.17
Malaysia,169.71,7772.73
United Arab Emirates,168.78,7981.74
Panama,168.17,7572.70
Pakistan,163.84,5960.32
Azerbaijan,163.74,4748.98
Puerto Rico,160.03,8407.05
China,154.61,3442.37
Kuwait,152.73,7681.56
Venezuela,152.02,6464.90
United States,151.34,7301.07
Ireland,150.49,4303.37
Belgium,149.16,4772.49
Israel,147.71,5481.93
Australia,147.71,5701.50
Singapore,147.60,2459.25
South Korea,146.10,2766.20
Hong Kong,145.69,1641.80
Ukraine,142.87,3706.20
Qatar,142.05,7691.89
Canada,139.81,5337.14
Uruguay,137.31,3235.89
Morocco,134.70,3419.85
Greece,134.06,4569.95
Japan,134.01,1752.17
Kazakhstan,133.74,4064.20
Italy,132.76,4262.63
United Kingdom,132.60,4065.52
Chile,131.80,3320.59
Saudi Arabia,131.58,6872.21
New Zealand,127.25,5151.65
Hungary,126.99,2845.36
Romania,125.80,3570.56
France,125.70,3189.00
Georgia,123.22,2586.31
Oman,121.91,5980.41
Luxembourg,118.71,3777.07
Latvia,113.81,3538.59
Taiwan,113.41,3245.35
Portugal,110.28,3712.55
Poland,109.92,3009.75
Serbia,109.90,3127.84
Vietnam,109.53,3536.19
Belarus,109.35,3387.17
Spain,106.94,3282.98
Cyprus,105.95,4355.71
Germany,104.79,2405.51
Bulgaria,102.79,2960.00
Slovenia,101.72,3262.82
Sweden,101.05,2457.77
Croatia,100.34,3045.07
Slovakia,100.02,2738.90
Netherlands,96.81,2492.60
Lithuania,94.03,2922.57
Norway,93.70,2496.81
North Macedonia,92.60,2497.50
Switzerland,91.86,2046.53
Czech Republic,91.69,1929.89
Iceland,90.17,3235.49
Bosnia And Herzegovina,89.54,2521.34
Finland,88.60,1811.54
Denmark,88.37,1654.14
Estonia,85.39,2118.77
Austria,79.85,1637.27
